Ticker,Name,Weight,Sector,Country
TSLA,Tesla Inc,1.58,Unknown,Unknown
IFX,Infineon Technologies Ag,0.71,Unknown,Unknown
DAI,Daimler Ag,0.69,Unknown,Unknown
PYPL,Paypal Holdings Inc,0.69,Unknown,Unknown
9984,Softbank Group Corp,0.69,Unknown,Unknown
ASML,Asml Holding Nv,0.65,Unknown,Unknown
6594,Nidec Corp,0.65,Unknown,Unknown
GLEN,Glencore Plc,0.64,Unknown,Unknown
BHP,Bhp Group Ltd,0.63,Unknown,Unknown
RIO,Rio Tinto Plc,0.63,Unknown,Unknown
AAL,Anglo American Plc,0.62,Unknown,Unknown
CAT,Caterpillar Inc,0.62,Unknown,Unknown
8035,Tokyo Electron Ltd,0.61,Unknown,Unknown
NVDA,Nvidia Corp,0.61,Unknown,Unknown
388,Hong Kong Exchanges & Clearing Ltd,0.60,Unknown,Unknown
MS,Morgan Stanley,0.59,Unknown,Unknown
9983,Fast Retailing Co Ltd,0.59,Unknown,Unknown
DPW,Deutsche Post Ag,0.56,Unknown,Unknown
7974,Nintendo Co Ltd,0.54,Unknown,Unknown
PRX,Prosus Nv,0.54,Unknown,Unknown
ATCOA,Atlas Copco Ab,0.54,Unknown,Unknown
000660,Sk Hynix Inc,0.54,Unknown,Unknown
GS,Goldman Sachs Group Inc/The,0.53,Unknown,Unknown
6758,Sony Corp,0.53,Unknown,Unknown
ERICB,Telefonaktiebolaget Lm Ericsson,0.53,Unknown,Unknown
SIE,Siemens Ag,0.53,Unknown,Unknown
AVGO,Broadcom Inc,0.52,Unknown,Unknown
6981,Murata Manufacturing Co Ltd,0.52,Unknown,Unknown
QCOM,Qualcomm Inc,0.51,Unknown,Unknown
ABBV,Abbvie Inc,0.51,Unknown,Unknown
DIS,Walt Disney Co/The,0.51,Unknown,Unknown
MC,Lvmh Moet Hennessy Louis Vuitton Se,0.51,Unknown,Unknown
UPS,United Parcel Service Inc,0.51,Unknown,Unknown
AAPL,Apple Inc,0.51,Unknown,Unknown
6954,Fanuc Corp,0.51,Unknown,Unknown
005930,Samsung Electronics Co Ltd,0.50,Unknown,Unknown
SU,Schneider Electric Se,0.50,Unknown,Unknown
UBSG,Ubs Group Ag,0.49,Unknown,Unknown
LONN,Lonza Group Ag,0.49,Unknown,Unknown
AMZN,Amazon.Com Inc,0.48,Unknown,Unknown
PNC,Pnc Financial Services Group Inc/The,0.48,Unknown,Unknown
RTX,Raytheon Technologies Corp,0.48,Unknown,Unknown
WES,Wesfarmers Ltd,0.48,Unknown,Unknown
6367,Daikin Industries Ltd,0.48,Unknown,Unknown
6752,Panasonic Corp,0.48,Unknown,Unknown
BAS,Basf Se,0.48,Unknown,Unknown
6861,Keyence Corp,0.47,Unknown,Unknown
CSGN,Credit Suisse Group Ag,0.47,Unknown,Unknown
GOOGL,Alphabet Inc,0.47,Unknown,Unknown
4063,Shin-Etsu Chemical Co Ltd,0.47,Unknown,Unknown
BNP,Bnp Paribas Sa,0.47,Unknown,Unknown
6098,Recruit Holdings Co Ltd,0.46,Unknown,Unknown
ANZ,Australia & New Zealand Banking Group L,0.46,Unknown,Unknown
INGA,Ing Groep Nv,0.46,Unknown,Unknown
ABBN,Abb Ltd,0.46,Unknown,Unknown
NKE,Nike Inc,0.46,Unknown,Unknown
BMW,Bayerische Motoren Werke Ag,0.46,Unknown,Unknown
LOW,Lowe's Cos Inc,0.46,Unknown,Unknown
CFR,Cie Financiere Richemont Sa,0.46,Unknown,Unknown
BAC,Bank Of America Corp,0.46,Unknown,Unknown
TXN,Texas Instruments Inc,0.46,Unknown,Unknown
DHR,Danaher Corp,0.46,Unknown,Unknown
BLK,Blackrock Inc,0.45,Unknown,Unknown
COP,Conocophillips,0.45,Unknown,Unknown
BARC,Barclays Plc,0.45,Unknown,Unknown
NFLX,Netflix Inc,0.45,Unknown,Unknown
LSEG,London Stock Exchange Group Plc,0.45,Unknown,Unknown
ABT,Abbott Laboratories,0.45,Unknown,Unknown
JPM,Jpmorgan Chase & Co,0.45,Unknown,Unknown
6501,Hitachi Ltd,0.45,Unknown,Unknown
VIV,Vivendi Se,0.44,Unknown,Unknown
TMO,Thermo Fisher Scientific Inc,0.44,Unknown,Unknown
4568,Daiichi Sankyo Co Ltd,0.44,Unknown,Unknown
PHIA,Koninklijke Philips Nv,0.44,Unknown,Unknown
BBVA,Banco Bilbao Vizcaya Argentaria Sa,0.44,Unknown,Unknown
BKNG,Booking Holdings Inc,0.44,Unknown,Unknown
NAB,National Australia Bank Ltd,0.44,Unknown,Unknown
ACN,Accenture Plc,0.44,Unknown,Unknown
CRH,Crh Plc,0.43,Unknown,Unknown
